Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
209,Gabriel Jesus,br BRA,FW,Manchester City,22,1997,24,13,"1,337",10,4,0,1,2,0,0.67,0.27,0.94,0.67,0.94,13.2,12.4,1.4,0.89,0.1,0.98,0.84,0.93,Matches
6,Sergio Aguero,ar ARG,FW,Manchester City,31,1988,22,17,"1,401",16,3,2,3,1,0,1.03,0.19,1.22,0.9,1.09,13.3,11,2.5,0.85,0.16,1.01,0.7,0.87,Matches
102,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,26,25,"2,156",8,17,0,0,2,0,0.33,0.71,1.04,0.33,1.04,4.9,4.9,13.4,0.2,0.56,0.76,0.2,0.76,Matches
388,Mohamed Salah,eg EGY,FW,Liverpool,27,1992,26,26,"2,250",16,6,3,3,1,0,0.64,0.24,0.88,0.52,0.76,14.3,12,5.6,0.57,0.23,0.8,0.48,0.71,Matches
268,Sadio Mane,sn SEN,FW,Liverpool,27,1992,26,24,"2,084",14,7,0,0,2,0,0.6,0.3,0.91,0.6,0.91,11.3,11.3,5.2,0.49,0.22,0.71,0.49,0.71,Matches
424,Raheem Sterling,eng ENG,FW,Manchester City,24,1994,24,23,"2,024",11,1,0,1,5,0,0.49,0.04,0.53,0.49,0.53,11.2,10.2,5.8,0.5,0.26,0.76,0.45,0.71,Matches
266,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,28,1991,23,15,"1,385",7,8,0,0,0,0,0.45,0.52,0.97,0.45,0.97,3.9,3.9,7,0.25,0.46,0.71,0.25,0.71,Matches
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,25,23,"1,945",13,3,0,0,2,0,0.6,0.14,0.74,0.6,0.74,11.8,11.8,2.2,0.55,0.1,0.65,0.55,0.65,Matches
137,Roberto Firmino,br BRA,"FW,MF",Liverpool,27,1991,29,27,"2,422",8,7,0,0,0,0,0.3,0.26,0.56,0.3,0.56,12.3,12.3,4.9,0.46,0.18,0.64,0.46,0.64,Matches
68,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,27,22,"1,912",13,1,0,0,7,0,0.61,0.05,0.66,0.61,0.66,12.3,12.3,0.9,0.58,0.04,0.62,0.58,0.62,Matches
201,Danny Ings,eng ENG,FW,Southampton,27,1992,29,23,"2,006",15,1,0,0,2,0,0.67,0.04,0.72,0.67,0.72,11.5,11.5,1.6,0.52,0.07,0.59,0.52,0.59,Matches
188,Son Heung-min,kr KOR,FW,Tottenham,27,1992,21,20,"1,748",9,7,0,1,0,2,0.46,0.36,0.82,0.46,0.82,7.2,6.3,4.9,0.37,0.25,0.62,0.33,0.58,Matches
358,Christian Pulisic,us USA,FW,Chelsea,20,1998,16,12,"1,076",5,2,0,0,0,0,0.42,0.17,0.59,0.42,0.59,4.9,4.9,2,0.41,0.17,0.58,0.41,0.58,Matches
210,Raul Jimenez,mx MEX,FW,Wolves,28,1991,29,28,"2,465",13,6,3,3,3,0,0.47,0.22,0.69,0.37,0.58,12.9,10.6,5.1,0.47,0.19,0.66,0.39,0.57,Matches
22,Michail Antonio,eng ENG,"FW,MF",West Ham,29,1990,15,10,"1,030",2,2,0,0,1,0,0.17,0.17,0.35,0.17,0.35,4.7,4.7,1.8,0.41,0.16,0.57,0.41,0.57,Matches
454,Jamie Vardy,eng ENG,FW,Leicester City,32,1987,26,25,"2,224",19,4,4,5,2,0,0.77,0.16,0.93,0.61,0.77,14.2,10.4,3.4,0.58,0.14,0.71,0.42,0.56,Matches
216,Diogo Jota,pt POR,"FW,MF",Wolves,22,1996,25,21,"1,773",6,1,0,0,3,0,0.3,0.05,0.36,0.3,0.36,8.5,8.5,2.6,0.43,0.13,0.56,0.43,0.56,Matches
406,David Silva,es ESP,MF,Manchester City,33,1986,19,16,"1,261",3,7,0,0,0,0,0.21,0.5,0.71,0.21,0.71,4.1,4.1,3.4,0.29,0.24,0.53,0.29,0.53,Matches
