Player,Squad,Age,Min,Gls,Ast,xGp90,xAp90,npxGp90
Gabriel Jesus,Manchester City,22,"1,337",10,4,0.89,0.1,0.84
Sergio Agüero,Manchester City,31,"1,401",16,3,0.85,0.16,0.7
Kevin De Bruyne,Manchester City,28,"2,156",8,17,0.2,0.56,0.2
Mohamed Salah,Liverpool,27,"2,250",16,6,0.57,0.23,0.48
Sadio Mané,Liverpool,27,"2,084",14,7,0.49,0.22,0.49
Raheem Sterling,Manchester City,24,"2,024",11,1,0.5,0.26,0.45
Riyad Mahrez,Manchester City,28,"1,385",7,8,0.25,0.46,0.25
Tammy Abraham,Chelsea,21,"1,945",13,3,0.55,0.1,0.55
Roberto Firmino,Liverpool,27,"2,422",8,7,0.46,0.18,0.46
Dominic Calvert-Lewin,Everton,22,"1,912",13,1,0.58,0.04,0.58
Danny Ings,Southampton,27,"2,006",15,1,0.52,0.07,0.52
Son Heung-min,Tottenham,27,"1,748",9,7,0.37,0.25,0.33
Christian Pulisic,Chelsea,20,"1,076",5,2,0.41,0.17,0.41
Raúl Jiménez,Wolves,28,"2,465",13,6,0.47,0.19,0.39
Michail Antonio,West Ham,29,"1,030",2,2,0.41,0.16,0.41
Jamie Vardy,Leicester City,32,"2,224",19,4,0.58,0.14,0.42
Diogo Jota,Wolves,22,"1,773",6,1,0.43,0.13,0.43
David Silva,Manchester City,33,"1,261",3,7,0.29,0.24,0.29
Marcus Rashford,Manchester Utd,21,"1,882",14,4,0.65,0.13,0.4
Alexandre Lacazette,Arsenal,28,"1,318",7,3,0.37,0.15,0.37
Oliver McBurnie,Sheffield Utd,23,"1,435",4,0,0.44,0.08,0.44
Lys Mousset,Sheffield Utd,23,"1,018",5,4,0.29,0.21,0.29
Bernardo Silva,Manchester City,24,"1,498",5,5,0.28,0.23,0.28
Teemu Pukki,Norwich City,29,"2,486",11,3,0.43,0.12,0.38
Pierre-Emerick Aubameyang,Arsenal,30,"2,304",17,1,0.44,0.08,0.41
Harvey Barnes,Leicester City,21,"1,719",6,6,0.36,0.12,0.36
Richarlison,Everton,22,"2,358",10,3,0.28,0.19,0.28
Chris Wood,Burnley,27,"2,069",11,1,0.44,0.04,0.44
David McGoldrick,Sheffield Utd,31,"1,361",0,2,0.37,0.1,0.37
Anthony Martial,Manchester Utd,23,"1,885",11,3,0.39,0.11,0.35
Neal Maupay,Brighton,22,"2,114",8,2,0.4,0.08,0.37
Ismaila Sarr,Watford,21,"1,226",5,3,0.36,0.09,0.36
Shane Long,Southampton,32,"1,141",2,2,0.35,0.09,0.35
Callum Wilson,Bournemouth,27,"2,350",8,0,0.34,0.08,0.34
Dele Alli,Tottenham,23,"1,764",8,4,0.36,0.11,0.32
James Maddison,Leicester City,22,"2,404",6,3,0.16,0.25,0.16
Ayoze Pérez,Leicester City,26,"1,594",7,4,0.29,0.17,0.24
Pascal Groß,Brighton,28,"1,492",2,4,0.11,0.3,0.11
Joshua King,Bournemouth,27,"1,467",4,2,0.29,0.16,0.25
Emi Buendía,Norwich City,22,"2,016",0,7,0.09,0.31,0.09
Nicolas Pépé,Arsenal,24,"1,594",4,6,0.25,0.19,0.2
Gerard Deulofeu,Watford,25,"2,107",4,5,0.22,0.2,0.19
Anwar El Ghazi,Aston Villa,24,"1,684",4,4,0.29,0.14,0.25
Trent Alexander-Arnold,Liverpool,20,"2,550",2,12,0.08,0.31,0.08
Jack Grealish,Aston Villa,23,"2,334",7,6,0.21,0.2,0.18
Sébastien Haller,West Ham,25,"2,148",7,1,0.29,0.08,0.29
Lucas Moura,Tottenham,26,"1,683",4,2,0.29,0.09,0.29
Troy Deeney,Watford,31,"1,506",6,2,0.37,0.14,0.24
Andreas Pereira,Manchester Utd,23,"1,453",1,3,0.14,0.22,0.14
Mason Mount,Chelsea,20,"2,302",6,4,0.23,0.13,0.23
Todd Cantwell,Norwich City,21,"2,080",6,2,0.24,0.11,0.24
Harry Kane,Tottenham,26,"1,780",11,2,0.35,0.09,0.27
Adama Traoré,Wolves,23,"2,073",4,7,0.1,0.25,0.1
Willian,Chelsea,30,"1,929",5,5,0.17,0.21,0.13
Leandro Trossard,Brighton,24,"1,444",3,3,0.16,0.19,0.16
Felipe Anderson,West Ham,26,"1,415",1,4,0.16,0.18,0.16
Ashley Barnes,Burnley,29,"1,361",6,0,0.35,0.03,0.3
Allan Saint-Maximin,Newcastle Utd,22,"1,274",2,1,0.16,0.18,0.16
Harry Wilson,Bournemouth,22,"1,446",7,0,0.22,0.11,0.22
Christian Eriksen,Tottenham,27,"1,092",2,2,0.16,0.17,0.16
Theo Walcott,Everton,30,"1,070",1,2,0.19,0.14,0.19
Ryan Fraser,Bournemouth,25,"2,063",1,4,0.14,0.18,0.14
Robert Snodgrass,West Ham,31,"1,511",5,5,0.15,0.17,0.15
John Lundstram,Sheffield Utd,25,"2,069",4,3,0.19,0.12,0.19
Jay Rodriguez,Burnley,30,"1,379",5,0,0.33,0.03,0.29
Alex Iwobi,Everton,23,"1,170",1,0,0.16,0.15,0.16
Nathan Redmond,Southampton,25,"1,960",3,1,0.18,0.12,0.18
Manuel Lanzini,West Ham,26,"1,188",0,2,0.13,0.17,0.13
Daniel James,Manchester Utd,21,"2,175",3,6,0.13,0.16,0.13
Gylfi Sigurðsson,Everton,29,"1,998",1,2,0.14,0.16,0.14
?lkay Gündo?an,Manchester City,28,"1,589",2,1,0.24,0.14,0.16
Jonjo Shelvey,Newcastle Utd,27,"1,342",5,0,0.12,0.16,0.12
Pablo Fornals,West Ham,23,"1,464",2,5,0.16,0.12,0.16
Jordan Ayew,Crystal Palace,27,"2,393",8,1,0.21,0.06,0.21
John Fleck,Sheffield Utd,27,"2,189",5,2,0.14,0.13,0.14
Youri Tielemans,Leicester City,22,"2,154",3,5,0.1,0.17,0.1
John McGinn,Aston Villa,24,"1,538",3,2,0.16,0.11,0.16
Alex Oxlade-Chamberlain,Liverpool,25,"1,108",3,0,0.19,0.08,0.19
Wesley Moraes,Aston Villa,22,"1,790",5,1,0.26,0.04,0.22
Dwight McNeil,Burnley,19,"2,535",2,5,0.05,0.19,0.05
Abdoulaye Doucouré,Watford,26,"2,450",4,2,0.15,0.1,0.15
Andrew Robertson,Liverpool,25,"2,445",1,7,0.05,0.21,0.05
Joelinton,Newcastle Utd,22,"2,237",1,2,0.16,0.09,0.16
Aaron Mooy,Brighton,28,"1,658",2,1,0.11,0.15,0.11
Trézéguet,Aston Villa,24,"1,324",3,1,0.19,0.05,0.19
James Ward-Prowse,Southampton,24,"2,610",4,3,0.15,0.13,0.1
Wilfried Zaha,Crystal Palace,26,"2,545",3,3,0.14,0.08,0.14
César Azpilicueta,Chelsea,29,"2,420",2,3,0.06,0.17,0.06
Lucas Digne,Everton,26,"2,245",0,5,0.04,0.18,0.04
Matt Doherty,Wolves,27,"2,150",4,1,0.2,0.03,0.2
Mesut Özil,Arsenal,30,"1,449",1,2,0.09,0.14,0.09
Dominic Solanke,Bournemouth,21,"1,179",0,1,0.16,0.07,0.16
João Moutinho,Wolves,32,"2,436",1,6,0.03,0.19,0.03
Miguel Almirón,Newcastle Utd,25,"2,380",2,1,0.2,0.03,0.2
Ryan Bertrand,Southampton,29,"2,023",1,1,0.08,0.14,0.08
Stuart Armstrong,Southampton,27,"1,140",3,0,0.16,0.07,0.16
Bernard,Everton,26,"1,023",3,2,0.08,0.13,0.08
N'Golo Kanté,Chelsea,28,"1,385",3,0,0.1,0.11,0.1
Roberto Pereyra,Watford,28,"1,327",3,0,0.15,0.11,0.1
Jack Stacey,Bournemouth,23,"1,068",0,2,0.03,0.18,0.03
Ashley Westwood,Burnley,29,"2,340",2,5,0.04,0.15,0.04
Fred,Manchester Utd,26,"2,027",0,0,0.07,0.12,0.07
Bukayo Saka,Arsenal,17,"1,174",0,3,0.05,0.14,0.05
Emerson Palmieri,Chelsea,24,"1,023",0,0,0.08,0.12,0.08
Jordan Henderson,Liverpool,29,"1,891",3,5,0.05,0.14,0.05
Will Hughes,Watford,24,"1,516",1,1,0.14,0.05,0.14
Reece James,Chelsea,19,"1,065",0,2,0.04,0.15,0.04
Ricardo Pereira,Leicester City,25,"2,520",3,2,0.04,0.13,0.04
Lucas Torreira,Arsenal,23,"1,371",1,1,0.1,0.07,0.1
Enda Stevens,Sheffield Utd,29,"2,446",2,2,0.03,0.13,0.03
James McArthur,Crystal Palace,31,"2,433",0,3,0.08,0.08,0.08
Oliver Norwood,Sheffield Utd,28,"2,382",1,0,0.06,0.13,0.03
Ben Chilwell,Leicester City,22,"2,060",2,3,0.03,0.13,0.03
Matt Targett,Aston Villa,23,"1,691",1,2,0.02,0.14,0.02
Moussa Sissoko,Tottenham,29,"1,690",2,1,0.11,0.05,0.11
Mateo Kova?i?,Chelsea,25,"1,683",1,3,0.06,0.1,0.06
Nicolás Otamendi,Manchester City,31,"1,413",2,0,0.15,0.01,0.15
Pierre Højbjerg,Southampton,23,"2,447",0,1,0.08,0.07,0.08
Max Aarons,Norwich City,19,"2,430",0,1,0.02,0.13,0.02
Lewis Dunk,Brighton,27,"2,430",2,3,0.12,0.03,0.12
Jorginho,Chelsea,27,"2,015",4,2,0.16,0.1,0.05
Douglas Luiz,Aston Villa,21,"1,714",3,2,0.11,0.04,0.11
Philip Billing,Bournemouth,23,"2,166",1,1,0.08,0.05,0.08
Patrick van Aanholt,Crystal Palace,28,"1,894",3,0,0.09,0.09,0.05
Mason Holgate,Everton,22,"1,731",0,3,0.12,0.03,0.12
Sead Kolašinac,Arsenal,26,"1,107",0,2,0.06,0.08,0.06
Fabián Balbuena,West Ham,27,"1,080",1,0,0.14,0,0.14
Jack O'Connell,Sheffield Utd,25,"2,520",0,1,0.05,0.08,0.05
Davy Pröpper,Brighton,27,"2,340",1,2,0.05,0.08,0.05
Nathan Aké,Bournemouth,24,"2,015",2,1,0.1,0.03,0.1
Romain Saïss,Wolves,29,"1,985",2,1,0.1,0.02,0.1
Serge Aurier,Tottenham,26,"1,914",1,4,0.02,0.11,0.02
Martín Montoya,Brighton,28,"1,711",0,1,0.07,0.07,0.07
Tom Davies,Everton,21,"1,368",1,0,0.11,0.02,0.11
Cédric Soares,Southampton,27,"1,309",0,1,0.04,0.09,0.04
Ainsley Maitland-Niles,Arsenal,21,"1,210",0,2,0.02,0.11,0.02
Steven Alzate,Brighton,20,"1,183",0,0,0.07,0.05,0.07
Shane Duffy,Brighton,27,"1,071",1,0,0.13,0,0.13
Yerry Mina,Everton,24,"2,085",2,1,0.11,0.01,0.11
Cheikhou Kouyaté,Crystal Palace,29,"1,993",1,1,0.08,0.04,0.08
Luka Milivojevi?,Crystal Palace,28,"1,986",2,1,0.1,0.09,0.03
Diego Rico,Bournemouth,26,"1,795",0,2,0.02,0.1,0.02
Djibril Sidibé,Everton,27,"1,641",0,4,0.02,0.11,0.02
Scott McTominay,Manchester Utd,22,"1,549",4,1,0.08,0.04,0.08
Sean Longstaff,Newcastle Utd,21,"1,298",0,1,0.06,0.06,0.06
Sam Byram,Norwich City,25,"1,293",0,0,0.09,0.04,0.09
Calum Chambers,Arsenal,24,"1,103",1,1,0.05,0.06,0.05
James Tarkowski,Burnley,26,"2,610",1,1,0.05,0.05,0.05
Georginio Wijnaldum,Liverpool,28,"2,332",3,0,0.07,0.04,0.07
Aaron Wan-Bissaka,Manchester Utd,21,"2,331",0,2,0.01,0.09,0.01
Kenny McLean,Norwich City,27,"2,289",1,1,0.05,0.06,0.05
Étienne Capoue,Watford,31,"2,140",0,2,0.03,0.08,0.03
Aaron Cresswell,West Ham,29,"2,025",3,0,0.05,0.06,0.05
Isaac Hayden,Newcastle Utd,24,"1,968",1,1,0.04,0.07,0.04
Jefferson Lerma,Bournemouth,24,"1,945",1,2,0.04,0.07,0.04
Jeff Hendrick,Burnley,27,"1,935",2,2,0.08,0.04,0.08
Kyle Walker,Manchester City,29,"1,809",1,2,0.04,0.07,0.04
Jetro Willems,Newcastle Utd,25,"1,498",2,2,0.03,0.08,0.03
Virgil van Dijk,Liverpool,28,"2,610",4,1,0.07,0.03,0.07
Rúben Neves,Wolves,22,"2,281",2,1,0.05,0.05,0.05
David Luiz,Arsenal,32,"2,185",2,1,0.06,0.04,0.06
Adam Webster,Brighton,24,"2,016",3,1,0.05,0.05,0.05
Rodri,Manchester City,23,"1,957",3,1,0.04,0.06,0.04
Ciaran Clark,Newcastle Utd,29,"1,188",2,0,0.09,0,0.09
Benjamin Mendy,Manchester City,25,"1,116",0,2,0.01,0.09,0.01
José Holebas,Watford,35,"1,006",0,0,0.04,0.07,0.04
Jonny Evans,Leicester City,31,"2,576",1,1,0.08,0.01,0.08
George Baldock,Sheffield Utd,26,"2,520",2,3,0.02,0.07,0.02
Jack Cork,Burnley,30,"2,368",0,0,0.07,0.03,0.07
Wilfred Ndidi,Leicester City,22,"1,892",2,1,0.07,0.02,0.07
Federico Fernández,Newcastle Utd,30,"1,808",2,1,0.07,0.02,0.07
Michael Keane,Everton,26,"1,746",1,0,0.07,0.02,0.07
